time,body,x,y,z,vx,vy,vz
1,1,13349433091867638.000000,0.000000,0.000000,1334943309186763776.000000,0.000000,0.000000
1,2,-40351877705.707390,0.297800,0.000000,-4035187770670.739258,29.780000,0.000000
1,3,7309068236356088.000000,0.010220,0.000000,730906823635608832.000000,1.022000,0.000000
2,1,26698866183735276.000000,0.000000,0.000000,1334943309186763776.000000,0.000000,0.000000
2,2,-80703755412.414780,0.595600,0.000000,-4035187770670.739258,29.780000,0.000000
2,3,14618136472712176.000000,0.020440,0.000000,730906823635608832.000000,1.022000,0.000000
3,1,40048299275602912.000000,0.000000,0.000000,1334943309186763776.000000,0.000000,0.000000
3,2,-121055633119.122162,0.893400,0.000000,-4035187770670.739258,29.780000,0.000000
3,3,21927204709068264.000000,0.030660,0.000000,730906823635608832.000000,1.022000,0.000000
4,1,53397732367470552.000000,0.000000,0.000000,1334943309186763776.000000,0.000000,0.000000
4,2,-161407510825.829559,1.191200,0.000000,-4035187770670.739258,29.780000,0.000000
4,3,29236272945424352.000000,0.040880,0.000000,730906823635608832.000000,1.022000,0.000000
5,1,66747165459338192.000000,0.000000,0.000000,1334943309186763776.000000,0.000000,0.000000
5,2,-201759388532.536957,1.489000,0.000000,-4035187770670.739258,29.780000,0.000000
5,3,36545341181780440.000000,0.051100,0.000000,730906823635608832.000000,1.022000,0.000000
6,1,80096598551205824.000000,0.000000,0.000000,1334943309186763776.000000,0.000000,0.000000
6,2,-242111266239.244354,1.786800,0.000000,-4035187770670.739258,29.780000,0.000000
6,3,43854409418136528.000000,0.061320,0.000000,730906823635608832.000000,1.022000,0.000000
7,1,93446031643073456.000000,0.000000,0.000000,1334943309186763776.000000,0.000000,0.000000
7,2,-282463143945.951721,2.084600,0.000000,-4035187770670.739258,29.780000,0.000000
7,3,51163477654492616.000000,0.071540,0.000000,730906823635608832.000000,1.022000,0.000000
8,1,106795464734941088.000000,0.000000,0.000000,1334943309186763776.000000,0.000000,0.000000
8,2,-322815021652.659119,2.382400,0.000000,-4035187770670.739258,29.780000,0.000000
8,3,58472545890848704.000000,0.081760,0.000000,730906823635608832.000000,1.022000,0.000000
9,1,120144897826808720.000000,0.000000,0.000000,1334943309186763776.000000,0.000000,0.000000
9,2,-363166899359.366516,2.680200,0.000000,-4035187770670.739258,29.780000,0.000000
9,3,65781614127204792.000000,0.091980,0.000000,730906823635608832.000000,1.022000,0.000000
10,1,133494330918676352.000000,0.000000,0.000000,1334943309186763776.000000,0.000000,0.000000
10,2,-403518777066.073914,2.978000,0.000000,-4035187770670.739258,29.780000,0.000000
10,3,73090682363560880.000000,0.102200,0.000000,730906823635608832.000000,1.022000,0.000000
